[2020-09-08T16:35:42+08:00][error] [8]未定义变量: userId
[2020-09-08T20:00:35+08:00][error] [8]未定义数组索引: status
[2020-09-08T20:25:17+08:00][error] [0]Too few arguments to function app\common\service\Acg::likeAcg(), 0 passed in /Volumes/doc/PHP/blogapi/app/api/controller/Acg.php on line 151 and exactly 1 expected
[2020-09-08T20:49:51+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:50:17+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:51:01+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:51:07+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:51:21+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:51:44+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:52:38+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:53:28+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:54:11+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:54:23+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:55:22+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:55:44+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:58:21+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:59:07+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T20:59:54+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T21:00:10+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T21:00:32+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T21:01:03+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T21:01:10+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T21:01:17+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T21:02:12+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T21:02:53+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
[2020-09-08T21:03:50+08:00][error] [0]Return value of think\Model::checkAllowFields() must be of the type array, string returned
